,2,4,6,7,8,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.002063296280925,,,,,,,,,,,,,,,,44.369676996449996,0.003729933657015,,,,,
1,,64.10327186385,,,,,,5.2608551744100005,,,,,,,0.984533294607,0.0020456539833,,,57.57444705495,0.0029588025549,,,
2,,,,124.88593299465,,,,,,,,0.00143067301368,0.00267228555678,,24.8771467764,,2.067947655675,,,,,,
3,,,5.006824939035,6.131773764405,,,,,282.971126586,,,,,,,,,,56.426436004950006,,,,
4,,,,,,,258.3337920375,,,,,,,,,41.18968673505,,,,0.0029551310945249995,,,
5,,,,,106.54473244065001,115.50889317719998,,,,,,,,,,,,,,,0.0023286443134649996,,
6,,,,353.5737349275,27.787997638950003,,,,0.0008356587671954999,,1185.5640366315001,,,483.2464135635,,,,,,,15.257205213,,
7,,,,,,,,,,,,,,7.977307467075,115.36727054820001,,0.001392888734598,,0.0016949973292499998,,,,
8,,,,,,0.0011821814455229998,,,,,0.001596805485885,,,,,,,,,,301.70246259600003,,
9,,,,,,,284.202096888,,,,,,,,,1232.0558032395002,,,,1259.320431828,,17.903931124649997,
10,,,,,,,,,,225.5012366085,,,0.0029494803000750004,,111.26372770215,,,,,546.7872702495,,,
12,,,,,,,,43.144906180650004,46.848708088799995,,,,,,,30.770583303749998,,,84.57812354385,,,,
13,,,,,,,,,,,,,,,,6.3987760587899984,,,,14.576102175675,,,
14,,,,,,,,,,,,,,,,33.09348888615,,,2.9506685354699997,,,,
15,,,,,,,,,,,2176.6168264049998,,,,,,,,269.01351741,,,,
16,,,,,,,,,,,,27.3224566293,64.7597122683,,,,,,,,,,
18,,,,,,,,,,,,,66.41025111885,,,,,,,,,,21.04987710375
19,,,,,,,,,,,,,,,382.09299622649996,,,,,,,,
20,,,,,,,,,,,,,,,,,268.25811749999997,,,,16.912653827400003,,
21,,,,,,,,,,,,,,,,,,,73.11363351930001,0.00279624020748,,,
23,,,,,,,,,,,,,,,,,,5.467432823939999,,,63.60159880260001,,
24,,,,,,,,,,,,,,,,,,,,,154.05974946150002,,
26,,,,,,,,,,,,,,,,,,,,,,0.12618395330534998,
