,,wind,solar,Max+AF8-wind,AEP,CF,R+AC0-toNL,Max+AF8-solar,AEP,CF,R+AC0-toNL,wind1,wind2,Max+AF8-wind1,Max+AF8-wind2
0,Achterhoek,349.581,367.425,1747.905,3.7336,0.243841,0.963691,11022.75,12.2194,0.126549,0.949777,245.062,129.687,1225.31,648.435
1,Alblasserwaard,107.16,113.379,535.8,1.30683,0.278427,0.967508,3401.37,3.89705,0.130791,0.96687,36.934,2.74,184.67,13.7
2,Arnhem/Nijmegen,238.169,278.723,1190.845,2.39095,0.229198,0.965466,8361.69,9.3929,0.128234,0.958811,67.779,3.953,338.895,19.765
3,Amersfoort,119.909,135.692,599.545,1.15743,0.220379,0.974599,4070.76,4.48229,0.125696,0.968346,46.667,11.055,233.335,55.275
4,Drechtsteden,42.5,56.978,212.5,0.487794,0.262044,0.962713,1709.34,1.93847,0.129457,0.961602,10.434,1.672,52.17,8.36
5,Drenthe,939.203,982.931,4696.015,11.2143,0.272608,0.976595,29487.93,31.4393,0.12171,0.957011,592.284,270.364,2961.42,1351.82
6,Flevoland,483.617,509.885,2418.085,6.17994,0.291748,0.991231,15296.55,17.5404,0.130901,0.966274,345.553,220.881,1727.765,1104.405
7,FoodValley,135.688,153.475,678.44,1.3148,0.22123,0.974736,4604.25,4.97629,0.123379,0.964643,58.818,14.253,294.09,71.265
8,Friesland,1726.441,1776.925,8632.205,26.1432,0.345727,0.96194,53307.75,58.3815,0.12502,0.950839,1175.585,612.764,5877.925,3063.82
9,Goeree+AC0-Overflakkee,97.44,100.842,487.2,1.38301,0.324052,0.94377,3025.26,3.24662,0.122508,0.942359,63.82,26.481,319.1,132.405
10,Hart+AF8-van+AF8-Brabant,166.749,193.695,833.745,1.59816,0.218818,0.95007,5810.85,6.54281,0.128535,0.953979,70.206,22.18,351.03,110.9
11,Groningen1,324.666666666667,339.882333333333,4870.415,13.3511,0.31293,0.948305,30589.41,29.7259,0.110933,0.944765,203,86,3041.78,1290.325
12,Holland+AF8-Rijnland,207.69,233.064,1038.45,2.76135,0.303551,0.971584,6991.92,7.98572,0.130381,0.960843,74.074,14.174,370.37,70.87
13,Hoeksewaard,106.422,111.447,532.11,1.36068,0.291912,0.957735,3343.41,3.88364,0.132601,0.956434,63.397,28.542,316.985,142.71
14,Midden+AC0-Holland,164.892,177.957,824.46,2.03737,0.282096,0.971425,5338.71,6.08951,0.130209,0.965042,51.451,5.578,257.255,27.89
15,Noord+AC0-Holland+AF8-Zuid,409.552,496.093,2047.76,5.31871,0.296499,0.979299,14882.79,16.6317,0.12757,0.965244,137.365,41.981,686.825,209.905
16,Eindhoven,272.555,324.518,1362.775,2.38227,0.199555,0.932468,9735.54,11.0314,0.129349,0.942551,141.54,60.416,707.7,302.08
17,Noord+AF8-Holland+AF8-Noord,581.554,623.533,2907.77,9.2773,0.364215,0.951534,18705.99,19.646,0.119892,0.953159,313.069,129.079,1565.345,645.395
18,Noord+AC0-en+AF8-Midden+AF8-Limburg,372.704,413.858,1863.52,3.3513,0.205294,0.921103,12415.74,14.2927,0.131413,0.928564,146.245,39.415,731.225,197.075
19,Noord+AC0-oost+AF8-Brabant,268.222,308.998,1341.11,2.61274,0.222396,0.953361,9269.94,10.39,0.127948,0.952045,117.597,33.95,587.985,169.75
20,Noord+AF8-Veluwe,109.305,117.201,546.525,1.0871,0.227068,0.98226,3516.03,3.69415,0.119938,0.963923,59.595,27.293,297.975,136.465
21,Rivierenland(Fruitdelta),275.188,291.439,1375.94,3.16161,0.262304,0.969814,8743.17,9.88916,0.129118,0.964709,135.392,29.837,676.96,149.185
22,Rotterdam+AC0-Den+AF8-Haag,261.563,353.438,1307.815,3.38837,0.295761,0.962624,10603.14,11.0491,0.118957,0.952991,68.451,14.991,342.255,74.955
23,Stedendriehoek/cleantechregioi,240.873,260.829,1204.365,2.20544,0.209042,0.973756,7824.87,8.61395,0.125667,0.963821,149.065,66.334,745.325,331.67
24,Twente,518.913,558.72,2594.565,5.17938,0.227882,0.96988,16761.6,18.101,0.123277,0.951981,316.596,146.178,1582.98,730.89
25,U10/U16,478.309,527.395,2391.545,5.4791,0.261533,0.97865,15821.85,17.7106,0.127782,0.971651,179.866,34.007,899.33,170.035
26,West+AC0-Brabant,429.199,473.647,2145.995,4.74871,0.252605,0.956153,14209.41,16.1467,0.129719,0.955793,197.932,57.027,989.66,285.135
27,West+AC0-Overijssel,803.406,836.943,4017.03,9.22384,0.262121,0.985079,25108.29,26.9485,0.122522,0.965433,527.613,259.832,2638.065,1299.16
28,Zeeland,622.431,651.072,3112.155,8.42778,0.309135,0.924796,19532.16,23.3325,0.136366,0.932582,380.265,161.421,1901.325,807.105
29,Zuid+AC0-Limburg,143.632,183.631,718.16,1.4249,0.226495,0.891791,5508.93,6.47814,0.134239,0.903891,23.935,2.642,119.675,13.21
30,Groningen2,324.666666666667,339.882333333333,,,,,,,,,203,86,,
31,Groningen3,324.666666666667,339.882333333333,,,,,,,,,203,86,,
