,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1143,0,347,78,170,17394,41513,91,10264,3920,457,37515,431,5187,4,339,1325,13516,1694,621,0,146,1313,184,1972,3,6733,3362,35793,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,450,0,0,0,8,0,0,67,0,0,0,0,0,0,0,31,0,0,0,48,0,0,115,0
18,15415,444,306,1085,64,18718,1864,1816,82996,44,693,15435,1741,450,927,4591,1600,7101,947,2392,4162,4674,596,9245,16336,5138,1165,35656,517,273
20,16352,76,545,0,0,14816,3949,2294,241,55,2889,451,0,0,0,1691,9462,1080,8706,5582,0,536,250,1659,6652,590,7506,4280,1363,506
21,6677,0,33,144,0,826,85,312,1529,0,82,64,114,0,0,0,685,0,1286,450,896,522,0,2934,6814,159,672,3194,331,0
23,317,0,0,0,150,640,7457,17,553,74,85,579,0,138,0,95,663,510,480,331,0,27,80,81,298,15,556,697,416,29
24,1710,0,35,580,0,5717,779,15,1044,0,2959,24,0,0,0,0,5559,675,2581,1736,0,0,43,735,3186,426,1808,4835,177,0
25,1015,0,12,345,0,4872,249,81,1317,0,413,205,0,0,0,0,1037,285,807,495,355,0,0,853,2371,74,609,1444,57,137
26,4,0,0,0,0,1396,1713,0,5275,1118,35,1114,214,662,0,1669,139,3643,73,171,0,0,790,61,6,9,421,2,1003,0
27,74,0,0,175,0,4738,0,8,722,272,262,10,0,39,0,84,1799,140,625,391,60,0,46,27,1397,102,409,175,135,0
29,0,0,0,0,0,50,203,0,0,0,0,0,0,0,0,0,138,0,26,0,0,0,0,0,0,0,0,0,103,0
30,0,0,0,88,0,0,0,0,6142,460,352,904,108,0,0,160,0,1324,0,8,0,0,176,0,0,0,0,0,277,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,0,10,0,158,278,2413,0,4839,388,6,721,282,407,0,105,54,40,67,0,0,39,0,0,0,159,1028,2984,866,0
36,0,0,0,0,0,1819,0,0,937,0,0,0,0,0,0,0,1220,0,976,0,0,0,0,0,825,0,0,0,0,0
37,0,0,0,0,0,0,0,0,3036,152,0,2279,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,2348,0
